2025-07-24 17:49:12 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:50:22 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:50:22 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:50:23 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:50:23 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:50:23 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:50:23 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 17:51:00 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 17:51:00 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:51:04 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:51:04 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:51:05 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:51:05 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:51:05 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:51:05 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 17:55:01 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 17:55:01 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:55:06 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:55:06 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:55:06 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:55:06 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:55:06 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:55:06 | INFO | __main__:run:136 | Starting bot polling...
